en,id,jv,su,formal_id
then,kemudian,,,kemudian
but,tetapi,nanging,tapi,tetapi
hers,milik dia,,,milik dia
same,sama,,,sama
to,ke,menyang,ka,ke
mustn't,,,,tidak boleh
her,dia,dheweke,anjeunna,dia
not,tidak,ora,henteu,tidak
couldn,,,,tidak bisa
shan't,,,,tidak akan
how,bagaimana,piye,kumaha,bagaimana
no,tidak,ora,henteu,tidak
them,mereka,wong-wong,aranjeunna,mereka
from,dari,saka,ti,dari
i,saya,aku,abdi,saya
themselves,mereka sendiri,,,mereka sendiri
he'll,,,,dia akan
you've,,,,kamu sudah
i've,,,,saya sudah
into,,,,ke dalam
does,,,,melakukan
out,,,,keluar
such,,,,seperti
you,kamu,kowe,anjeun,kamu
and,dan,lan,jeung,dan
when,ketika,nalika,nalika,ketika
on,di,ing,di,di
all,semua,kabeh,sadaya,semua
ourselves,kita sendiri,,,kita sendiri
down,,,,turun
won,,,,menang
ours,milik kita,,,milik kita
over,,,,berlebihan
that'll,,,,itu semua
i'd,,,,saya sudah
they,mereka,wong-wong,aranjeunna,mereka
doing,,,,melakukan
these,ini,iki,ieu,ini
yourself,kamu sendiri,,,kamu sendiri
his,dia,dheweke,anjeunna,dia
myself,saya sendiri,,,saya sendiri
who,siapa,sapa,saha,siapa
because,karena,merga,sabab,karena
yours,milik kamu,,,milik kamu
or,atau,utawa,atawa,atau
this,ini,iki,ieu,ini
that,itu,iku,eta,itu
if,jika,yen,lamun,jika
where,dimana,ngendi,dimana,dimana
about,tentang,,,tentang
against,melawan,,,melawan
he,dia,dheweke,anjeunna,dia
during,selama,,,selama
it,itu,iku,eta,itu
weren't,,,,kami tidak
herself,dia sendiri,,,dia sendiri
by,oleh,dening,ku,oleh
those,itu,iku,eta,itu
their,mereka,wong-wong,aranjeunna,mereka
him,dia,dheweke,anjeunna,dia
in,di,ing,di,di
of,dari,saka,ti,dari
himself,dia sendiri,,,dia sendiri
will,akan,arep,bade,akan
too,terlalu,,,terlalu
itself,itu sendiri,,,itu sendiri
me,saya,aku,abdi,saya
few,sedikit,sithik,saeutik,sedikit
my,saya,aku,abdi,saya
why,mengapa,ngapa,naha,mengapa
now,sekarang,saiki,ayeuna,sekarang
so,jadi,,,jadi
while,sementara,,,sementara
being,sedang,lagi,nuju,sedang
at,di,ing,di,di
having,mempunyai,,,mempunyai
theirs,milik mereka,,,milik mereka
she,dia,dheweke,anjeunna,dia
for,untuk,kanggo,pikeun,untuk
very,sangat,banget,pisan,sangat
your,kamu,kowe,anjeun,kamu
what,apa,apa,naon,apa
our,kita,awake dhewe,urang,kita
we,kita,awake dhewe,urang,kita
through,melalui,,,melalui
with,dengan,karo,sareng,dengan
,brb,,,be right back
,btw,,,by the way
,cmiiw,,,correct me if i am wrong
,fyi,,,for your information
this,imho,,,in my humble opinion
,lol,,,laugh out loud
,omg,,,oh my god
,wtf,,,what the f
,asap,,,as soon as possible
,aka,,,also known as
,etc,,,et cetera
,lmao,,,laugh my ass off
,rofl,,,rolling on floor laughing
,ttyl,,,talk to you later
this,imo,,,in my opinion
,tbh,,,to be honest
,nvm,,,never mind
,idk,,,i dont know
,irl,,,in real life
,dm,,,direct message
,pm,,,private message
i,gw,aku,abdi,saya
i,gue,aku,abdi,saya
i,aku,aku,abdi,saya
i,w,aku,abdi,saya
you,lu,kowe,anjeun,kamu
you,lo,kowe,anjeun,kamu
you,elu,kowe,anjeun,kamu
you,u,kowe,anjeun,kamu
he,dia,dheweke,anjeunna,dia
he,dy,dheweke,anjeunna,dia
they,mrk,wong-wong,aranjeunna,mereka
we,kt,awake dhewe,urang,kita
we,kmi,awake,kami,kami
father,bokap,,,ayah
mother,nyokap,,,ibu
,ortu,,,orang tua
,bro,,,saudara
from,sis,,,saudari
,gan,,,juragan
,agan,,,juragan
,suhu,,,master
good,mantap,apik,saé,bagus
good,keren,apik,saé,bagus
,anjay,,,wow
,anjir,,,wow
,buset,,,wow
,gilak,,,gila
,gokil,,,gila
want,kepo,,,ingin tahu
not,gabut,,,tidak ada kegiatan
,baper,,,bawa perasaan
,galau,,,bingung
,bucin,,,budak cinta
,jones,,,jomblo ngenes
what,php,,,pemberi harapan palsu
,pdkt,,,pendekatan
,ttm,,,teman tapi mesra
,clbk,,,cinta lama bersemi kembali
now,skrg,saiki,ayeuna,sekarang
now,skrang,saiki,ayeuna,sekarang
later,ntar,mengko,engké,nanti
later,tar,mengko,engké,nanti
,td,,,tadi
yesterday,kmrn,wingi,kamari,kemarin
tomorrow,bsk,sesuk,isukan,besok
day,hr,dina,dinten,hari
week,mgg,,,minggu
month,bln,,,bulan
year,thn,,,tahun
minute,mnt,,,menit
second,dtk,,,detik
hour,jam,,,jam
how,gimana,piye,kumaha,bagaimana
how,gmn,piye,kumaha,bagaimana
how,bgmn,piye,kumaha,bagaimana
why,knapa,,,kenapa
where,dimana,ngendi,dimana,dimana
where,dmn,ngendi,dimana,dimana
where,dmana,ngendi,dimana,dimana
where to,kemana,,,kemana
where to,kmn,,,kemana
where to,kmana,,,kemana
from,drmana,,,darimana
who,siapa,sapa,saha,siapa
who,spa,sapa,saha,siapa
who,sapa,sapa,saha,siapa
what,apa,apa,naon,apa
what,apaan,apa,naon,apa
what,apain,apa,naon,apa
which,mana,endi,mana,mana
which,mn,endi,mana,mana
when,kapan,kapan,iraha,kapan
when,kpn,kapan,iraha,kapan
when,kpan,kapan,iraha,kapan
not,gabisa,,,tidak bisa
not,gasuka,,,tidak suka
not,gatau,,,tidak tahu
not,gapapa,,,tidak apa-apa
already,udah,wis,parantos,sudah
already,udeh,wis,parantos,sudah
not yet,belom,durung,can,belum
not yet,blom,durung,can,belum
just,aja,,,saja
just,doang,,,saja
like that,gitu,kaya ngono,kitu,begitu
like this,gini,kaya ngene,kieu,begini
like,kayak,,,seperti
like,kaya,,,seperti
very,banget,banget,pisan,sangat
very,bgt,banget,pisan,sangat
,bener,,,benar
indeed,emang,,,memang
indeed,memang,,,memang
which,yg,sing,nu,yang
i,sy,aku,abdi,saya
you,km,kowe,anjeun,kamu
this,ini,iki,ieu,ini
that,itu,iku,eta,itu
and,dan,lan,jeung,dan
or,atau,utawa,atawa,atau
but,tp,nanging,tapi,tetapi
because,krn,merga,sabab,karena
if,jk,yen,lamun,jika
when,ktk,nalika,nalika,ketika
,saat,nalika,nalika,saat
at,di,ing,di,di
to,ke,menyang,ka,ke
from,dr,saka,ti,dari
for,utk,kanggo,pikeun,untuk
with,dgn,karo,sareng,dengan
on,pd,ing,dina,pada
in,dlm,ing jero,dina,dalam
by,olh,dening,ku,oleh
,adlh,,,adalah
will,akn,arep,bade,akan
,tlh,,,telah
already,sdh,wis,parantos,sudah
being,sdg,lagi,nuju,sedang
still,msh,isih,masih,masih
not yet,blm,durung,can,belum
not,tdk,ora,henteu,tidak
not,bkn,dudu,sanés,bukan
do not,jgn,,,jangan
,ada,ana,aya,ada
,smu,kabeh,sadaya,semua
,stp,,,setiap
what,bbp,,,beberapa
,bnyk,akeh,seueur,banyak
,sdkt,sithik,saeutik,sedikit
very,sgt,banget,pisan,sangat
quite,agk,,,agak
enough,ckp,,,cukup
too,tll,,,terlalu
most,plg,,,paling
more,lbh,,,lebih
less,krg,,,kurang
,woles,,,santai
,santuy,,,santai
,newbie,,,pemula
,noob,,,pemula
,pro,,,profesional
in,dalam,ing jero,dina,dalam
we,kita,awake dhewe,urang,kita
not,tidak,ora,henteu,tidak
same,sama,,,sama
,suka,,,suka
,sebelas,,,sebelas
want,mau,,,mau
when,ketika,nalika,nalika,ketika
,barusan,,,barusan
,pelan,,,pelan
,sendiri,,,sendiri
will,akan,arep,bade,akan
now,sekarang,saiki,ayeuna,sekarang
by,oleh,dening,ku,oleh
they,mereka,wong-wong,aranjeunna,mereka
,kira-kira,,,kira-kira
with,dengan,karo,sareng,dengan
,pendek,cendhak,pondok,pendek
too,terlalu,,,terlalu
,siang,awan,siang,siang
,serupa,,,serupa
like that,begitu,kaya ngono,kitu,begitu
,maghrib,,,maghrib
you,anda,panjenengan,anjeun,anda
,pasti,,,pasti
,engkau,,,engkau
,lima,lima,lima,lima
,ratus,,,ratus
,baik,apik,saé,baik
also,juga,,,juga
,satu,siji,hiji,satu
,tiga,telu,tilu,tiga
,panjang,dawa,panjang,panjang
need,perlu,,,perlu
that,yaitu,,,yaitu
,beda,,,beda
,selama,,,selama
,ketiga,,,ketiga
,sedikit,sithik,saeutik,sedikit
